Id	CharacterId	StanceName	HeatEngage	HeatSmash	PowerCrush	Throw	Homing	Tornado	HeatBurst	RequiresHeat	Command	HitLevel	Damage	StartUpFrame	BlockFrame	HitFrame	CounterHitFrame	Notes
014CA263-11E8-46E6-85BA-4C49A5045F03	alisa		0	0	0	0	0	0	0	0	sbt 1,2,1,3+4	m,m,m,m	12,13,7,33	,i18	-18	+4 (-13)		"* balcony break
* transition to des with input sbt.1,2,1,3+4,1+2"
01C71DE6-ECFA-4077-9CF8-8D42818A4249	alisa		0	0	0	0	0	0	0	0	uf+3	m	15	i17~18	-52	-25		"* transition to sbt with input uf+3,3_4
* transition to dbt with input uf+3,f+3_f+4"
022F2BB4-11FF-4BC0-BE9E-DD6BD39F64F4	alisa		0	0	0	0	0	0	0	0	df+1,4	m,m	10,17	,i26~27	-11	+3c	+13c	
05DAA6C3-9E0F-46AC-8C3D-677BF518D652	alisa		0	0	0	0	0	0	0	0	f,f+2,3	m,m	18,17 (11)	,i22~24	-13	+5 (+4)		* balcony break
06173CE2-C93E-4C48-B9EE-E6B1BC487666	alisa		0	0	0	0	0	0	0	0	dbt 2	m	25	i16	-14	+32 (+14)		* chip damage on block
06B79A36-2321-4111-A259-55FA5D2FC08A	alisa		0	0	0	0	0	0	0	0	2+4	th(h)	35	i12~14				"* throw break: 1 or 2
* spike
* opponent recovery on hit: fdft
* switches sides
* transition to des with input 2+4,1+2"
071A6758-3062-46A8-837C-51E8919750CC	alisa		0	0	0	0	0	0	0	0	bkp 3	m	30	i24~27	-9	+72		* balcony break
09884E3C-422A-4D57-915D-6A4B844BDF6D	alisa		0	0	0	0	0	0	0	0	otg db+1+2	l	20 (14)	i26	-14	-5 (-13)		
0A177B83-AE4D-4370-8B65-94CAE8A039C9	alisa		0	0	0	0	0	0	0	0	bkp 1+2	ub(h)	20	i34~71	+58	+58		
0BB502E4-7A0F-4C1B-8692-18FEF08DB078	alisa		0	0	0	0	0	0	0	0	des b,b	sp						* transition to des
0CFBEDE2-C7C2-4CCB-AAC1-DA3CFF0208DE	alisa		0	0	0	0	0	0	0	0	des b+2,1	m,m	17,33	,i20~21	-3	+5		"* transition to des
* chip damage on block"
0D8C35BF-5561-47BB-A69D-2E25D520B2EE	alisa		0	0	0	0	0	0	0	0	d+1+2	sp						"* cancel des with des.d+1+2 or des.db
* transition to dbt with input des.f+3_f+4"
0E565673-E982-4451-AFBC-671805D13609	alisa		0	0	0	0	0	0	0	1	h f+1+4	sp						"* transition to dbt
* partially consumes heat"
107CE6AB-BB24-4190-A9F2-B22D9F86E69A	alisa		0	0	0	0	0	0	0	0	df+4	m	13	i12	-7	+4		
10A43DE0-3BDD-4FA1-BC2E-9FDE73B549CC	alisa		0	0	0	0	0	0	0	0	ch f,f+1+2	m	28	i17~18		+13		
10D78AA3-637A-4AA3-8CCC-E981103BF03F	alisa		1	0	0	0	1	0	0	0	3,2	m,h	10,20	,i26~27	-2	+20 (+11)		"* balcony break
* heat engager

* homing
* chip damage on block
* transition to des (does not transition when using heat dash)"
128CCD42-47B4-46BA-B441-F78531BC78B3	alisa		0	0	0	0	0	0	0	0	f+3+4	sp						airborne dash. can use thruster left, thruster right-burst, eject slider, upstream, thruster drill, heartbeat disabler, or shut down during boot.
12DC44F9-9A51-4714-81D6-081DB170B027	alisa		0	0	0	0	0	0	0	0	f+3+4	sp						"* transition to sbt
* transition to bkp with input sbt.d or sbt.b"
1B90EA9F-4188-4D9A-A738-0685910606CA	alisa		0	0	0	0	0	0	0	0	1+3	th(h)	35	i12~14				"* throw break: 1 or 2
* opponent recovery on hit: fdft"
1EEC008E-8291-45A2-8F8D-879158CB210E	alisa		0	0	0	0	0	0	0	0	ws1,2,3	m,h,m	12,12,23	,i25~26	-10	+33 (+23)		* transition to des with input ws1,2,3,1+2
2147C909-D6E7-45A9-9D22-72AFA7FF50E0	alisa		0	0	0	0	0	0	0	0	f+3,1+2	h,m	10,25	,i24~25	-13	+8		"* balcony break
* transition to des
* chip damage on block"
21536BC6-315C-4343-8ECF-080D0D9C05D6	alisa		0	0	0	0	1	0	0	0	ws1+2	m	20	i20~21	-8	+21		"* homing
* hold to power up"
22512E91-F6DB-4AAA-BCDC-03B8A434B44A	alisa		0	0	0	0	0	0	0	0	db+3	l	11	i16	-13	-2		
2256DD09-3155-434A-BA93-4FE1782DB09D	alisa		0	0	0	0	0	0	0	0	des f+1+2,1+2	m,m	12,20	,i20~26	-53	+41		"* transition to des
* chip damage on block"
24112241-3D90-46E5-A505-6D4233BDB134	alisa		0	0	0	0	0	0	0	0	uf+3,2	m,m	15,30	,i17~22	-14	+32 (-26)		* balcony break
242D4B66-E96D-44AF-B25B-C28DF9656831	alisa		0	0	0	0	0	0	0	0	2,3,4	h,m,l	10,8,20	,i42~45	-13	+13		airborne
247F80F3-362A-49C0-8DC3-85CC76BB2753	alisa		0	0	0	0	0	0	0	0	f,f+3	m	12	i18~19	-14	-6		airborne
24F7DFA9-9A26-413A-8AC0-8619B996DCC0	alisa		0	0	0	0	0	0	0	0	fuft 1+2	sp	0					
255FD425-D62E-4ADC-B3DF-49D2FD4C1F7E	alisa		0	0	0	0	0	0	0	0	des f,f	sp						* transition to des
27265946-EDD2-4DB7-9E23-47A6C1DBAA27	alisa		1	0	0	0	0	0	0	0	des f+2,1,2	mmm	9		-13	knd		"* heat engager

* chip damage on block"
27EA88B0-8378-4945-9FBB-E465E611E82B	alisa		0	0	0	0	0	0	0	0	des d+3	sp	0					"* alternate input: des.d+4 or des.u+3 or des.u+4
* des.d+3_4 goes to foreground, des.u+3_4 goes to background
* transition to des"
295B6A5C-5FDE-4951-B885-AA01B22F395E	alisa		0	0	0	0	0	0	0	0	f+3,2	h,h	10,20	,i25	-4	+39 (+31)		"* balcony break
* transition to des
* chip damage on block"
29B13E48-E319-4E6B-9688-754CF45991F6	alisa		0	0	0	0	0	0	0	0	ub+4	m	10	i18	-9	+7		low crush
2DD21D4E-EE33-474F-BA8E-97F267542192	alisa		0	0	0	0	0	0	0	0	des d+3,1	sp,m	0,25	,i20~21	-13	+14		"* balcony break
* transition to des
* chip damage on block"
313F19A8-92CB-4798-A594-C06449E74AB1	alisa		0	0	0	0	0	0	0	0	1,2,d+2	h,h,h	5,10 (0),17	,i27~28	-11	+2		* can be delayed
